IOAxCONF_Key,InstanceID,DateTimeStamp,Respondent,CaregiverID,StudyPhase,SessionType,SessionCount,Merge_TotalSessionTrials,ConfConfederateInteraction,IOAConfederateInteraction
70,wn1ygertr5,2024-08-06 10:44:50-04:00,3_IOAxCONF,Case1,0_BL,1_SC,1,10,0,0
136,wobjacr4f0,2024-08-07 09:43:56-04:00,3_IOAxCONF,Case3,1_T1,1_SC,2,7,0,0
137,x6snutud2j,2024-08-07 09:48:46-04:00,3_IOAxCONF,Case3,1_T1,1_SC,2,11,0,0
107,xd3xahzf81,2024-08-14 09:00:53-04:00,3_IOAxCONF,Case3,3_T3,1_SC,4,1,0,0
98,xfafelu310,2024-08-08 10:41:01-04:00,3_IOAxCONF,Case1,2_T2,1_SC,3,25,1,1
131,xmvhjmnp8d,2024-08-16 09:54:28-04:00,3_IOAxCONF,Case1,5_RTB,1_SC,6,1,0,0
8,xmwo3ksvlr,2024-08-06 12:26:54-04:00,3_IOAxCONF,Case2,0_BL,1_SC,1,7,0,1
54,xzuoviw1k5,2024-08-06 14:52:05-04:00,3_IOAxCONF,Case3,0_BL,1_SC,1,23,0,0
142,ydcxk6f2tw,2024-08-16 09:15:07-04:00,3_IOAxCONF,Case4,5_RTB,0_AC,2,1,0,0
99,ylwmempocs,2024-08-08 10:42:11-04:00,3_IOAxCONF,Case1,2_T2,1_SC,3,26,1,0
83,yo3ske4qqn,2024-08-08 10:18:01-04:00,3_IOAxCONF,Case1,2_T2,1_SC,3,10,0,0
20,yq71aj4ndb,2024-08-06 12:55:27-04:00,3_IOAxCONF,Case2,0_BL,1_SC,1,17,0,0
73,z08uj7ac1w,2024-08-06 10:53:19-04:00,3_IOAxCONF,Case1,0_BL,0_AC,1,3,0,0
62,zmp0lp9k1f,2024-08-06 10:19:27-04:00,3_IOAxCONF,Case1,0_BL,1_SC,1,3,0,1
5,zom6it7q6a,2024-08-06 12:22:07-04:00,3_IOAxCONF,Case2,0_BL,1_SC,1,4,0,0
6,zp2oqbs26n,2024-08-06 12:23:44-04:00,3_IOAxCONF,Case2,0_BL,1_SC,1,5,1,1
24,zqh67kai1y,2024-08-06 14:13:50-04:00,3_IOAxCONF,Case3,0_BL,1_SC,1,1,0,0
67,zqpztu3q7m,2024-08-06 10:39:34-04:00,3_IOAxCONF,Case1,0_BL,1_SC,1,7,0,0
115,zsydrua0kw,2024-08-14 09:09:11-04:00,3_IOAxCONF,Case3,3_T3,1_SC,4,10,0,0
