Key,DateTimeStamp,CaregiverID,StudyPhase,SessionType,SessionCount,TotalSessionTrials,SessionBlockCount,ConfMonitoring1,ConfMonitoring2,ConfMonitoring3,ConfMonitoring4,ConfMonitoring5,ConfMonitoring6a_1,ConfMonitoring6a_2,ConfMonitoring6a_3
74,2024-08-07T09:43:56-04:00,Case1,1_T1,1_SC,2,7,3.5,0,0,0,0,0,0,0,0
75,2024-08-07T09:45:12-04:00,Case1,1_T1,1_SC,2,8,4,0,0,0,0,0,0,0,0
76,2024-08-07T09:46:20-04:00,Case1,1_T1,1_SC,2,9,4.5,0,0,0,0,0,0,0,0
77,2024-08-07T09:47:37-04:00,Case1,1_T1,1_SC,2,10,5,0,0,0,0,0,0,0,0
78,2024-08-07T09:48:46-04:00,Case1,1_T1,1_SC,2,11,5.5,0,0,0,0,0,0,0,0
79,2024-08-07T09:49:52-04:00,Case1,1_T1,1_SC,2,12,6,0,0,0,0,0,0,0,0
80,2024-08-07T09:51:45-04:00,Case1,1_T1,1_SC,2,13,6.5,0,0,0,0,0,0,0,0
81,2024-08-07T09:52:50-04:00,Case1,1_T1,1_SC,2,14,7,0,0,0,0,0,0,0,0
82,2024-08-07T09:54:16-04:00,Case1,1_T1,1_SC,2,15,7.5,0,0,0,0,0,0,0,0
83,2024-08-07T09:55:18-04:00,Case1,1_T1,1_SC,2,16,8,0,0,0,0,0,0,0,0
84,2024-08-07T09:56:24-04:00,Case1,1_T1,1_SC,2,17,8.5,0,0,0,0,0,0,0,0
85,2024-08-07T09:57:25-04:00,Case1,1_T1,1_SC,2,18,9,0,0,0,0,0,0,0,0
86,2024-08-07T09:59:28-04:00,Case1,1_T1,1_SC,2,19,9.5,0,0,0,0,0,0,0,0
87,2024-08-07T10:00:33-04:00,Case1,1_T1,1_SC,2,20,10,0,0,0,0,0,0,0,0
88,2024-08-07T10:02:06-04:00,Case1,1_T1,1_SC,2,21,10.5,0,0,0,0,0,0,0,0
89,2024-08-07T10:03:04-04:00,Case1,1_T1,1_SC,2,22,11,0,0,0,0,0,0,0,0
90,2024-08-07T10:04:05-04:00,Case1,1_T1,1_SC,2,23,11.5,0,0,0,0,0,0,0,0
91,2024-08-07T10:05:00-04:00,Case1,1_T1,1_SC,2,24,12,0,0,0,0,0,0,0,0
92,2024-08-07T10:05:53-04:00,Case1,1_T1,1_SC,2,25,12.5,0,0,0,0,0,0,0,0
93,2024-08-07T10:06:50-04:00,Case1,1_T1,1_SC,2,26,13,0,0,0,0,0,0,0,0
94,2024-08-07T11:33:36-04:00,Case1,1_T1,1_SC,2,1,0.5,0,0,0,0,0,0,0,0
95,2024-08-07T11:35:36-04:00,Case1,1_T1,1_SC,2,2,1,0,0,0,0,0,0,0,0
96,2024-08-07T11:37:03-04:00,Case1,1_T1,1_SC,2,3,1.5,0,0,0,0,0,0,0,0
97,2024-08-07T11:38:11-04:00,Case1,1_T1,1_SC,2,4,2,0,0,0,0,0,0,0,0
98,2024-08-07T11:39:26-04:00,Case1,1_T1,1_SC,2,5,2.5,0,0,0,0,0,0,0,0
